id_producto,nombre,categoria,marca,precio_base
1,Monitor 4K Ultra 1,Perifericos,CyberSystems,1578.29
2,Teclado Mecanico RGB 2,Gaming,LogicWare,957.59
3,Mouse Inalambrico Pro 3,Redes,FutureTech,1500.10
4,Auriculares Noise Cancelling 4,Oficina,GigaPower,1615.13
5,Tablet Grafica 10p 5,Computacion,NanoSoft,877.34
6,Smartphone Flagship Z 6,Perifericos,TechBrand,1639.51
7,Smartwatch Fitness 7,Gaming,CyberSystems,1708.87
8,Disco SSD NVMe 1TB 8,Redes,LogicWare,2187.14
9,Memoria RAM DDR4 16GB 9,Oficina,FutureTech,2157.57
10,Placa de Video RTX 4090 10,Computacion,GigaPower,1574.87
11,Procesador Core i9 11,Perifericos,NanoSoft,2822.21
12,Fuente Modular 850W 12,Gaming,TechBrand,305.58
13,Gabinete Vidrio Templado 13,Redes,CyberSystems,2247.05
14,Silla Gamer Ergonomica 14,Oficina,LogicWare,522.73
15,Webcam 1080p Streaming 15,Computacion,FutureTech,1464.36
16,Microfono Condensador USB 16,Perifericos,GigaPower,1856.88
17,Router WiFi 6 Mesh 17,Gaming,NanoSoft,1383.14
18,Impresora Laser Color 18,Redes,TechBrand,2361.10
19,Proyector Portatil Mini 19,Oficina,CyberSystems,1200.79
20,Laptop Gamer Xtreme 20,Computacion,LogicWare,1524.52
21,Monitor 4K Ultra 21,Perifericos,FutureTech,2625.73
22,Teclado Mecanico RGB 22,Gaming,GigaPower,1635.90
23,Mouse Inalambrico Pro 23,Redes,NanoSoft,139.30
24,Auriculares Noise Cancelling 24,Oficina,TechBrand,2599.79
25,Tablet Grafica 10p 25,Computacion,CyberSystems,1383.11
26,Smartphone Flagship Z 26,Perifericos,LogicWare,1115.34
27,Smartwatch Fitness 27,Gaming,FutureTech,601.78
28,Disco SSD NVMe 1TB 28,Redes,GigaPower,55.11
29,Memoria RAM DDR4 16GB 29,Oficina,NanoSoft,1672.26
30,Placa de Video RTX 4090 30,Computacion,TechBrand,813.91
